Text,Class
"You have really great products but I really feel your documentation does not do justice to your software.  Whilst the help files are good they are no substitute for proper user and reference guides.  
I have 25+ years development experience and I am not in the habit of needing technical support but I have found myself sometimes completely at sea with using some of your components given their complexity and the inadequate documentation.  
I realise that some of the issues are in your knowledge base but to have to go online every time you have a query to see if it is covered in there, is a real pain.  
I feel you would spend a lot less time fielding technical support queries if you had better documentation.  
**Proposed Solution:**  
For example with quatum grid:  
Many more examples of how to accomplish common tasks such as adding an unbound column to a data aware grid, correct way to alter data in different columns in response to data changes in other columns etc  
A detailed flow chart of the order in which events are fired and the key things that take place at each stage.  THis is particularly needed given the MVC architecture of the grid in terms of how the data controller interacts with the views/ levels  
Much more on how editors work",1
"Minor glitch in setup:  
If you don't install Documentation you are still asked whether to merge the help files or not at the install time.  
**Steps to Reproduce:**  
Run setup, uncheck Documentation option, click next.  
**Actual Results:**  
Setup is asking you if you want to merge help files.  
**Expected Results:**  
Setup should not ask you if you want to merge help files since you aren't installing any.",2
"hi,  
i wish to integrate my application with Mercury's testing tools.  
they have told me that they have support only for your grid control.  
i am using many more components of you.  
Do you have support for Mercury's automatic testing tools?",2
"I'm not happy with your point of view. It seems to me that you are not understand what I'm talking about.  
Can you please answer the following 3 questions.  
\- How should a DevExpress customer know, that Null is not allowed for DisplayValue in TcxCustomTextEdit?  
\- What else (of internal things) must a DevExpress customer know to prevent him running into trouble?  
\- Is a goal for your company to keep these knowledge as small as possible?",0
"When my customers report a problem I can't reproduce it creates a level of frustration on my end as well as theirs.  For me, the problem is not resolved until the application works properly for my customer. It really doesn't matter how well it works on my computer. It matters a great deal how it works on my customer's machines.  
When I still have a problem that you consider resolved, it is no better to me than downloading some free, unsupported code from Delphi Super Pages, or the like. I'm sure you are somewhat frustrated because anyone can figure out that people don't report problems they are not having. This is unresolved because it still doesn't work for me. If I'm doing something wrong tell me, but don't just say it is resolved and be done with it.",0
"Hi Stan,  
correct me if I am wrong, but, I think this issue is not a suggestion, it is a bug, because, in the control documentation (taking the documentation as features catalog) and your previous answers, it is mentioned that the required behavior is load only the necessary objects.  
I say you this, because I think, you give priority to resolve bugs before improve features.  
(sorry for my terrible english)",1
"\*grin\* I know exactly what ""It seems that you are the only person having such problem..."" means, it means it's user error and not our fault now go away.  Just kidding but as a developer I've told my end\-users the same thing before.  
I'd like some clarification though about your response.  
1. Do I need to have InterBase Express installed?  
If so...  
2. Why?  
3. What features of your components require InterBase?  
4. Why doesn't the installer check to make sure that InterBase is installed on the machine as a prereq if it's required?  
5. Where in the readme or install notes does it say I need to have InterBase Express installed?  
It seems since InterBase is something that is an optional component it should be checked for if your components require it.",0
"Hi,  
Thank you for your response, I will incorporate your workaround.  
Nevertheless I think bool? is as strongly typed as bool is, so I think it should be treated the same way.  
Maybe you should take this as a enhancement request instead of a bug?  
Regards,  
",0
"So you tell me to upgrade to 2.5.1.0 to fix a problem in 2.5.0.0  
Then tell me the new version of a product that list VS 2005 as supported doesn't work?  
My solution is to scrap your product and use one that works.",0
"The code listed in teh workaround now crashes with a null reference exception after updating to 1.12.4.  
There is a purported fix that makes this workaround unnecessary, unfortunately after wasting half an hour on this site I still can't find anything more than the posting on the forum that says: ""\#A1149     Usability \- It's impossible to set the XRDesignPanel.ReportState  
property""  
What are we supposed to do with that information?  Do you guys not realize how precious time is to a developer, you don't seem to want to make it easy to get this kind of information quickly and easily.  At every update we are fighting with the lack of doc's for changes.  Last time you moved something critical into another assembly entirely and didn't document it anywhere.  This is getting ridiculous.  You have a good product, please follow through with your support.  We have thousands of clients now using XtraReports in a released product and to be honest we dont' want to every upgrade your product any more because something always breaks and is not documented.  Unfortunately there appears to be a huge bug in the previous release that we \*hope\* will be fixed in the 1.12.4, but we don't know because we can't get there yet until we fix all the new breaks introduced by 1.12.4.  
Can you tell I'm not happy?",0
"Look at the yours site first page.  
You have six new programs for NET.  
You also mention that you support Visual Studio 2005.  
Now look at the VCL programs.  
You don't mention that you support Delphi 2006.  
You say that you are building the next version of Quantum Grid and Bars as well as PIVOT grid.  
If you are comitted to both platforms why don't you put in your site these components with the 'coming soon' mark?  
Don't you want to have new customers in the VCL product line?  
What impression are you giving?  
Regards,  
Manolis",0
"How do you change the border color/pattern like is done in the Scheduler demo. I looked through it but cannot figure it out.  
As kind of an aside, I am having trouble figuring out how to use the Scheduler control. It is extremely powerful and flexible and it seems that it is not well documented. Granted I am still a newbie to .Net programming but I find I am having to ask what feel like elementary questions and I am having a tough time figuring out whether it is me or the documentation (or rather lack of) for the product. I am not trying to be critical, I am trying to be more efficient with my time and yours and if you can give me a pointer or insight as how to find answers to my questions about the scheduler control on my own I would gladly use them. To me it seems like I would benefit from source or at least a human readable form of all of the classes contained within (or something like this). You have graciously answered my questions thus far and when you send me answers I look in the help files for the property or method that you expose and find nothing. I am trying to figure out how I could possibly have found that answer without bothering you. Thanks very much,  
Tim.",1
"I fixed the problems myself, however I'm quite surprised that a set of patches caused such a group of problems. I do think that perhaps a bit more testing would help, maybe some peer review of the installation packs, a beta test against a real project rather than whatever you have at your workplace maybe? Do you issue a general warning to your customers if you get post\-release problem reports? If you do, I never received it.  
Regards  
",1
"Thank you for your response and glad to see that there is an issue; but your response really does not help us. Since we would like to upgrade to 1.12, because we are also upgrading to VS2005.  The biggest issue between 1.8 and 1.12 is that we are getting a serious performance problem.  What is so different in 1.12 which makes peristing the report work in 1.8?  Is is bug or what?  And I hate to ask you this, but when you said that you going to add ""PrintDocument in the future,"" is there an ETD.  The reason I am asking, is my boss, which I have convinced to use Xtrareports in the first place, would like to know for planning purposes.  Thanks again for your time.",0
"Please excuse my frustration with your answers.  
You said, ""Sorry, as you know our policy is not to preannounce any release dates""  
How is it that I know this? No one has ever explained to me your policy before. And I have several 3rd party controls in which they are very upfront about ""estimated"" release dates \- which is what I asked for. I did not ask for an exact release date.  
And you have not resolved my issue in any way! Essentially, your answer to me is summarized as follows \- ""Our software has a bug that we can't or won't fix and the new functionality will be available someday \- but we can't even tell you whether it will be released next month or next year."" How can you consider this to be good customer service? I get the feeling that all you want to do is give some kind of an answer to my issue so that you can mark it resolved. Are you really interested in helping me use your product? Essentially, your reporting tool does me no good since I cannot use the XRRichTextBox \- because of this bug.  
I hope that you take my concerns seriously and try to help me work through this problem.",0
