text,Sentiment
"Thank you very much for your information, they were very helpful.",3
"Thanks, you helped me.",3
Could you please forward my ticket to other support staff or your manager?,1
I do n't think you are very helpful.,1
Are you new to this DevExpress practice or you are suggesting our division should stop using DevExpress?,1
But that means you leave a bug in your product!,1
"Bugs need to be fixed or at least offer a workaround that does not require any coding, like a property we can set",1
You do realize that I now have to do extra coding just to make your product work?,1
"Thank you, fantastic suport!",3
You guys are amazing!,4
Thank you for always being current and making the rest of us look like UI Magicians. ;-),4
I have seen so many support forum but I got very quick support only from devexpress support team.,3
"Thanks to all of the devexpress support team, I hope the same support will be in future also.",3
"Since we are using devexpress from 2014, the main things is 100% fully support.",3
"I think the DevExpress Support service is fantastic, this is one of the main reasons I continue using DevExpress products.",4
"It works, thank you very much.",3
That's Great Devexpress Support...,4
"You did n't actually give me any solutions, just told me about the problems I was already talking about.",1
"your last response helped me a lot and I achieved what I had wanted, thanks :)",3
I am really grateful to you!,3
Then I though - that's good time to leave old 15 version of DevExpress and spent almost 1000 goddamn dollars for new subscription and version 18 and... Exactly nothing has changed.,1
"Topic which I related before shows, that you do n't have enough motivation to resolve problems.",1
that is exactly what I want... Thank you...,3
"Hi, Many thanks for the sample and explanation.",3
"Thanks for that, all good.",3
"I update to latest version and yeeeeeeeeeeeeees it works, thank you very much.",4
I must admit - I'm really impressed!,4
So thanks a lot - also for the other hints in your answer.,3
"thankyou pavel, you are my god, my hearo, i love you, now i have another question",3
I would like to thank you for your great software - we really use it in our company.,3
"In recent past whatever quesion I have posted in DevExpress support forum, I hardly got a proper reply, I am utterly disappointed.",0
Great support!,4
This feature was super easy to implement due to your example and made my customer ecstatic.,3
great work!,4
Thanks for the great support.,4
"Thank you Oleg, this is perfect!",4
Your approach was very easy to understand and I was able to implement with relative ease.,3
You guys have a wonderful products.,3
i do have to say that the technical and customer support from you guys is great!!,4
PERFECT!!!!,4
Thank you very much... is what i need... Problem solved.,3
Thank your for the quick repsonse and the right answer,3
"Thanks, this worked!",3
"perfect, thank you very much",3
"Thanks, Your solution works great!",4
That works great!,4
Thanks nadezhda For Solution.,3
"Brilliant, worked like a charm.",4
Thanks for your support!!!!!!,3
I really love XAF!,4
I'm happy with the support I get from DevExpress.,3
"I have used DevExpress WPF in the past, and always been impressed with their support and the richness of their offer.",3
One of the best things is the fantastic support team.,4
It's a very powerful and customizable business app framework built upon the best components on the market.,4
I could n't go away without telling you how great DevExpress is,3
"After studying and working with XAF, it's a coder's heaven for business applications.",3
The cross-platform support is awesome!,4
"I use your support, you-tube channel and webinars, whenever I have problems or new requirements, and your support is first class.",3
You are doing a fantastic job addressing my requirements.,4
This I would call a very good customer support.,3
Experiencing DevExpress left no doubt in my mind to go ahead with you guys and base my new WPF project on your fantastic framework.,3
Thanks for such a great product.,4
DevExpress Support is of the highest level.,4
Issues are handled expediently.,3
"All the support resources appear to be highly knowledgeable, but beyond that they are all courteous and professional.",3
I have nothing but the highest praise for DevExpress Customer Support.,4
Great work guys!,4
Support is also very good.,3
Answers we get are very fast and usually very helpful and problem solving.,3
"In addition to the cutting-edge products, the DevExpress Support Team exhibits a high level of understanding and professionalism.",4
"I could go on, but suffice it to say that you guys rule.",4
That's what we say in Germany if we do n't know what to say because we are speechless and impressed.,3
Truly awesome.,4
"If you have a problem, there Customer Support will find you a solution.",3
I've had a very positive experience with both DevExpress Products & Support,4
"The controls are rock-solid but the support team are the real differentiator, they go the extra mile, every time.",4
"It's a joy to work with DevExpress controls, and now, it's been a joy to work with their support team!",4
Thanks to DevExpress a lot of the frustrations in software development are removed.,3
Thumbs up for the support!,4
The kind of support that I got from your team is simply awesome.,4
"Busy developers do n't have time for that, and so arguably the most critical aspect of what makes DevExpress so worthwhile is the support team.",3
