Id,Text,Sentiment,Created
4818,"Kudos to the developer for this nice codesnippet. ",3,2019-12-23 11:36:25.460
4817,This is not DevExpress Quality and very disappointing.,1,2019-12-12 19:22:36.400
4816,Which is very frustrating to say the least.,1,2019-12-12 19:21:57.110
4815,"The support is good and the knowledge base, examples and API documentation provide alot of info to be able to implement the components.",3,2019-12-12 19:18:49.070
4814," maintenance: complexity and behavior changes between versions have given us already a few painful moments trying to understand why suddenly, after an upgrade, something doesn't work any more.",1,2019-12-12 19:17:50.603
4813,So many properties for each component make the usage of the toolbox a nightmare.,1,2019-12-12 19:17:34.407
4812,"your support is fantastic: the best I ever saw in the IT industry, fast and accurate.",4,2019-12-12 19:17:20.903
4811,too hard to customize,1,2019-12-12 19:17:07.360
4810,It takes too much time to scroll through looking for information while in the development process.,1,2019-12-12 19:16:55.493
4809,"We've been caught multiple times with a working app that we could not upgrade to a more current version of DevExpress controls due to deprecation of features or technology, in many cases for no apparent good reason. ",1,2019-12-12 19:16:30.047
4808,I really do but ye gads the documentation is horrible.,1,2019-12-12 19:12:07.997
4807,I don't feel like an appreciated customer.,1,2019-12-12 19:11:48.570
4806,"In the beginning DevEpress had great support fe I asked something got an answer in a few hours, now I ask something then a day later I get no answer but a question, then a some kind of answer after a few days in this answer a question how I did a search. ",1,2019-12-12 19:11:11.213
4805,Cxgrid is too much and too complex.,1,2019-12-12 19:10:48.883
4804,It costs a lot of precious time to get a problem solved.,1,2019-12-12 19:10:38.270
4803,"What makes DevExpress' online support a mess is the fact that you have to dig through a bunch of tickets that are most likely being outdated. ",1,2019-12-12 19:10:27.533
4802,Thank you for being awesome!,4,2019-12-12 19:09:17.803
4801,Very good online service,3,2019-12-12 19:09:05.547
4800,Its a mess,1,2019-12-12 19:08:18.130
4799,"Devexpress has become very complicated. ",1,2019-12-12 19:07:59.853
4798,Bad technical support,1,2019-12-12 19:06:59.760
4797," This issue is running me crazy for two weeks now. ",1,2019-12-12 19:06:24.043
4796,"too buggy, too frequent updates, in many cases ridiculously complex for everydays tasks",1,2019-12-12 19:05:52.203
4795,The best Choice to legally use for building database connection on high level.,4,2019-12-12 19:04:18.643
4794,it's the best,3,2019-12-12 19:03:58.127
4793,Good customer service feedback.,3,2019-12-12 19:03:47.873
4792,Extreamly good,3,2019-12-12 19:03:37.647
4791,"Professional Product, Professional Support and Professional output.",3,2019-12-12 19:03:22.980
4790,"The product is always top class, and the support is second to none.",4,2019-12-12 19:01:12.773
4789,"	
I find Devexpress Great!",3,2019-12-12 19:00:21.480
4788,Keep doing the best thing for programmers.,3,2019-12-12 18:59:42.987
4787,You are Awesome!!!,4,2019-12-12 18:59:26.437
4786,Awesome!!,3,2019-12-12 18:59:11.723
4785,I wanna make a renew in future due excellent support.,3,2019-12-12 18:59:00.617
4784,"Amazing tools with amazing support. ",4,2019-12-12 18:58:44.223
4783,Devxpress is always doing great...,3,2019-12-12 18:55:23.673
4782,Your components are really fantastic and fundamental for developers.,4,2019-12-12 18:55:06.957
4781,The Best plugin to Visual Studio.,4,2019-12-12 18:54:51.703
4780,"I have loved Dev Express since I first used it in 2012. ",3,2019-12-12 18:53:57.870
4779,Very Happy Customer,3,2019-12-12 18:53:02.930
4778,"The XAF framework is VERY powerful and is extendable! ",3,2019-12-12 18:52:50.547
4777,I love DevExpress!,3,2019-12-12 18:52:15.093
4776,All is perfect!,3,2019-12-12 18:51:16.203
4775,"Great products and support. ",3,2019-12-12 18:51:02.937
4774,"I LOVE the controls. ",3,2019-12-12 18:49:30.210
4773,"Good and informative news through newsletters and emails, keep it up!",3,2019-12-12 18:48:57.483
4772,The documentation is really bad for someone that know nothings about DevExpress.,1,2019-12-12 18:45:20.123
4771,High quality must have components.,3,2019-12-11 18:58:40.133
4770,excellent ASP.NET componenets.,4,2019-12-11 18:58:21.253
4769,"You're just the best of the best, my friends!",4,2019-12-11 18:58:11.877
4768,I Always suggest to my clients to use DevExpress Controls!,3,2019-12-11 18:57:38.133
4767,"I've been worked with DevExpress Controls for almost 10 years and I'm a big fan of them! ",3,2019-12-11 18:57:30.780
4766,"Great Tools!

",3,2019-12-11 18:57:20.903
4765,Continue your work as you did over the last 20 years.,3,2019-12-11 18:57:03.780
4764,Very useful software.,3,2019-12-11 18:56:53.027
4763,You guys are freaking awesome,4,2019-12-11 18:56:39.790
4762,I like how fast fixes come out.,3,2019-12-11 18:56:30.317
4761,"Really great customer service, helped with everything I needed",3,2019-12-11 18:56:15.110
4760,My web developer appears to be very happy with DevExpress,3,2019-12-11 18:55:31.610
4759,Great components to work with and really like you still support WinForms controls as they are what I use mostly for my personal stuff.,3,2019-12-11 18:55:21.780
4758,DevExpress has never failed to deliver amazing technical support.,4,2019-12-11 18:55:01.237
4757,"hands down best controls, I had to eval all suites in 2008, no comparison to other suites, devx blew them all away. ",4,2019-12-11 18:54:40.587
4756,"And what is most important to me , I achieve what I plan - no strange effects , predicive behavior in my projects.",3,2019-12-11 18:54:18.043
4755,"It doubles my working speed.
",3,2019-12-11 18:54:08.583
4754,"Great documentation.
",3,2019-12-11 18:54:00.920
4753,"Great support.
",3,2019-12-11 18:53:53.923
4752,"Great product.
",3,2019-12-11 18:53:45.843
4751,i`m a long term fan of DevExpress and spreading the word ...,3,2019-12-11 18:53:12.257
4750,"Excellent product and great support! ",4,2019-12-11 18:52:59.127
